version,ultima_actualizacion,codigo,familia,validacion,mensaje
0.3.0,02/12/2024,FEL_RCP330,FEL_RCP,El contenido de la casilla no existe en el catálogo.,Error. Código de Unidad Gravable no existe en el catálogo para el IVA.
0.3.0,02/12/2024,FEL_RCP331,FEL_RCP,"El contenido de esta casilla es diferente al producto (multiplicación) de: • Casilla Monto gravable • Porcentaje sobre el monto gravable, correspondiente al Código de la unidad gravable consignado en el XML.",Monto del Impuesto calculado incorrectamente para el IVA
0.3.0,02/12/2024,FEL_RCP332,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”,El total de Impuesto calculado incorrectamente para el IVA
0.3.0,02/12/2024,FEL_RCP333,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del impuesto IVA no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP334,FEL_RCP,El contenido de la casilla no existe en el catálogo de unidades gravables.,Código de Unidad Gravable no existe en el catálogo de Petróleo.
0.3.0,02/12/2024,FEL_RCP335,FEL_RCP,La casilla no está presente en el XML,Cantidad de Unidades Gravables debe existir para Petróleo.
0.3.0,02/12/2024,FEL_RCP336,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”,Total de Impuestos calculado incorrectamente para Petróleo.
0.3.0,02/12/2024,FEL_RCP337,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del impuesto Petroleo no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP338,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”,Total de Impuestos calculado incorrectamente para Turismo Hospedaje.
0.3.0,02/12/2024,FEL_RCP339,FEL_RCP,"El contenido de la casilla Tipo de DTE incluye el texto: NCRE, no se incluye la casilla Régimen antiguo y el valor de la casilla Total de Impuestos es mayor que el valor de la casilla Total de Impuestos del documento origen que aparece registrado en la SAT, de acuerdo al valor de la casilla Número de Autorización del Documento Origen.",El total del impuesto Turismo Hospedaje no puede ser mayor al del documento origen registrado en la SAT.
0.3.0,02/12/2024,FEL_RCP340,FEL_RCP,El valor de la casilla “Total de Impuestos” es diferente a la sumatoria de las casillas “Monto del Impuesto”,Total de Impuestos calculado incorrectamente para Turismo Pasajes.
